LebwohlLasher3.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.281, Time: 0.630327 s
         4278894 function calls (4091684 primitive calls) in 1.965 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      427    0.000    0.000    0.100    0.000 pprint.py:156(pformat)
 9880/427    0.006    0.000    0.099    0.000 pprint.py:168(_format)
        4    0.000    0.000    0.094    0.023 numbers.py:206(int_power_impl)
       32    0.000    0.000    0.093    0.003 codegen.py:1058(wrapper)
       16    0.000    0.000    0.093    0.006 executionengine.py:87(finalize_object)
        1    0.000    0.000    0.092    0.092 colorbar.py:1(<module>)
        1    0.000    0.000    0.091    0.091 __init__.py:13(_ensure_critical_deps)
      112    0.002    0.000    0.090    0.001 artist.py:1602(pprint_setters)
      691    0.084    0.000    0.084    0.000 {built-in method io.open_code}
        3    0.000    0.000    0.081    0.027 decorators.py:1(<module>)
        1    0.000    0.000    0.077    0.077 randomimpl.py:365(_impl)
        1    0.000    0.000    0.076    0.076 stencil.py:1(<module>)
     4050    0.006    0.000    0.074    0.000 artist.py:1474(get_valid_values)
 1017/638    0.001    0.000    0.074    0.000 functools.py:981(__get__)
      135    0.001    0.000    0.072    0.001 postproc.py:71(run)
       16    0.000    0.000    0.070    0.004 codegen.py:667(_optimize_final_module)
       32    0.000    0.000    0.070    0.002 passmanagers.py:665(run)
      412    0.001    0.000    0.065    0.000 pprint.py:206(_pprint_dict)
10788/9857    0.013    0.000    0.061    0.000 {built-in method builtins.sorted}
       15    0.000    0.000    0.060    0.004 untyped_passes.py:79(run_pass)
       15    0.001    0.000    0.060    0.004 interpreter.py:1352(interpret)
        3    0.000    0.000    0.058    0.019 registry.py:1(<module>)
        1    0.000    0.000    0.057    0.057 dispatcher.py:1(<module>)
        1    0.000    0.000    0.057    0.057 arraymath.py:1(<module>)
   315/70    0.000    0.000    0.055    0.001 context.py:153(refresh)
    19258    0.007    0.000    0.055    0.000 pprint.py:454(_repr)
      230    0.000    0.000    0.054    0.000 typeinfer.py:699(__call__)
      300    0.000    0.000    0.053    0.000 nrt.py:19(initialize)
        1    0.000    0.000    0.053    0.053 contour.py:1(<module>)
        1    0.000    0.000    0.053    0.053 nrtdynmod.py:205(compile_nrt_functions)
        1    0.000    0.000    0.053    0.053 rcsetup.py:1(<module>)
74942/12861    0.039    0.000    0.053    0.000 ir.py:317(_rec_list_vars)
        1    0.000    0.000    0.053    0.053 arraymath.py:33(_check_blas)
        1    0.000    0.000    0.053    0.053 linalg.py:55(ensure_blas)
      412    0.021    0.000    0.053    0.000 pprint.py:377(_format_dict_items)
        1    0.000    0.000    0.053    0.053 compiler.py:1(<module>)
     6793    0.033    0.000    0.053    0.000 inspect.py:867(cleandoc)
  778/777    0.001    0.000    0.051    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
        1    0.000    0.000    0.051    0.051 backend_bases.py:1(<module>)
        2    0.000    0.000    0.051    0.025 arrayobj.py:4232(codegen)
        2    0.000    0.000    0.049    0.024 arrayobj.py:4040(_empty_nd_impl)
     6764    0.003    0.000    0.048    0.000 inspect.py:848(getdoc)
    10548    0.002    0.000    0.047    0.000 ir.py:350(list_vars)
37593/19258    0.007    0.000    0.047    0.000 pprint.py:463(format)
       92    0.000    0.000    0.045    0.000 module.py:233(__repr__)
        1    0.000    0.000    0.045    0.045 text.py:1(<module>)
       11    0.000    0.000    0.045    0.004 lowering.py:301(create_cfunc_wrapper)
       11    0.000    0.000    0.045    0.004 cpu.py:193(create_cfunc_wrapper)
       92    0.000    0.000    0.044    0.000 module.py:207(_get_body_lines)
       92    0.000    0.000    0.044    0.000 module.py:212(<listcomp>)
37593/19258    0.016    0.000    0.043    0.000 pprint.py:551(_safe_repr)
      691    0.001    0.000    0.043    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
      797    0.003    0.000    0.043    0.000 <frozen importlib._bootstrap>:1054(_find_spec)
    82/81    0.000    0.000    0.042    0.001 <frozen importlib._bootstrap_external>:1231(create_module)
    82/81    0.041    0.001    0.042    0.001 {built-in method _imp.create_dynamic}
       30    0.000    0.000    0.041    0.001 codegen.py:732(add_llvm_module)
      298    0.000    0.000    0.041    0.000 values.py:1010(__str__)
      298    0.000    0.000    0.041    0.000 values.py:1003(descr)
      691    0.041    0.000    0.041    0.000 {built-in method marshal.loads}
      150    0.007    0.000    0.041    0.000 analysis.py:23(compute_use_defs)
46822/28037    0.012    0.000    0.040    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.040    0.040 _axes.py:1(<module>)
   538598    0.030    0.000    0.040    0.000 {built-in method builtins.isinstance}
     8234    0.003    0.000    0.040    0.000 __init__.py:272(_compile)
37286/36086    0.005    0.000    0.039    0.000 {built-in method builtins.next}
   315/70    0.000    0.000    0.039    0.001 context.py:415(_load_builtins)
    17266    0.008    0.000    0.039    0.000 event.py:209(broadcast)
       30    0.001    0.000    0.039    0.001 codegen.py:651(_optimize_functions)
 2835/630    0.005    0.000    0.038    0.000 context.py:428(install_registry)
20704/9071    0.005    0.000    0.037    0.000 _utils.py:44(__str__)
       30    0.001    0.000    0.037    0.001 registry.py:54(apply)
      793    0.000    0.000    0.036    0.000 <frozen importlib._bootstrap_external>:1496(find_spec)
       36    0.000    0.000    0.036    0.001 values.py:996(descr_body)
      622    0.001    0.000    0.036    0.000 values.py:1139(descr)
  794/793    0.001    0.000    0.036    0.000 <frozen importlib._bootstrap_external>:1464(_get_spec)
